Occupation code,Job types included on the shortage occupations list,Areas of the UK where there is a shortage,Annual salary (),Special Condition
2135,systems consultant,"England, Scotland, Wales, Northern Ireland","29,280",
2135,technical analyst,"England, Scotland, Wales, Northern Ireland","29,280",(Computing)
2135,technical architect,"England, Scotland, Wales, Northern Ireland","29,280",
2136,programmer,"England, Scotland, Wales, Northern Ireland","26,640",
2136,database developer,"England, Scotland, Wales, Northern Ireland","26,640",
2136,games programmer,"England, Scotland, Wales, Northern Ireland","26,640",
2136,software engineer,"England, Scotland, Wales, Northern Ireland","26,640",
2136,analyst programmer,"England, Scotland, Wales, Northern Ireland","26,640",
2137,web design consultant,"England, Scotland, Wales, Northern Ireland","20,800",
2137,internet developer,"England, Scotland, Wales, Northern Ireland","20,800",
2137,multimedia developer,"England, Scotland, Wales, Northern Ireland","20,800",
2137,web designer,"England, Scotland, Wales, Northern Ireland","20,800",
2139,it consultant,"England, Scotland, Wales, Northern Ireland","25,440",only cyber security specialists
2139,quality analyst,"England, Scotland, Wales, Northern Ireland","25,440",only cyber security specialists
2139,software tester,"England, Scotland, Wales, Northern Ireland","25,440",only cyber security specialists
2139,systems tester,"England, Scotland, Wales, Northern Ireland","25,440",only cyber security specialists
2139,telecommunications planner,"England, Scotland, Wales, Northern Ireland","25,440",only cyber security specialists
2216,veterinarian,"England, Scotland, Wales, Northern Ireland","26,000",
2216,veterinary practitioner,"England, Scotland, Wales, Northern Ireland","26,000",
2216,veterinary surgeon,"England, Scotland, Wales, Northern Ireland","26,000",
2425,informaticians,"England, Scotland, Wales, Northern Ireland","26,240",
2425,bio-informaticians,"England, Scotland, Wales, Northern Ireland","26,240",
2431,architect,"England, Scotland, Wales, Northern Ireland","28,000",
2431,architectural consultant,"England, Scotland, Wales, Northern Ireland","28,000",
2431,chartered architect,"England, Scotland, Wales, Northern Ireland","28,000",
2431,landscape architect,"England, Scotland, Wales, Northern Ireland","28,000",
2461,quality engineer,"England, Scotland, Wales, Northern Ireland","24,400",
2461,planning engineer,"England, Scotland, Wales, Northern Ireland","24,400",
2461,quality assurance engineer,"England, Scotland, Wales, Northern Ireland","24,400",
2461,quality control officer,"England, Scotland, Wales, Northern Ireland","24,400",
3111,laboratory analyst,"England, Scotland, Wales, Northern Ireland","14,560",
3111,laboratory technician,"England, Scotland, Wales, Northern Ireland","14,560",
3111,medical laboratory assistant,"England, Scotland, Wales, Northern Ireland","14,560",
3111,scientific technician,"England, Scotland, Wales, Northern Ireland","14,560",
3111,water tester,"England, Scotland, Wales, Northern Ireland","14,560",
3411,artist,"England, Scotland, Wales, Northern Ireland","16,800",
3411,illustrator,"England, Scotland, Wales, Northern Ireland","16,800",
3411,portrait painter,"England, Scotland, Wales, Northern Ireland","16,800",
3411,sculptor,"England, Scotland, Wales, Northern Ireland","16,800",
3414,ballet dancer,"England, Scotland, Wales, Northern Ireland","23,840"," Must meet the standard required by internationally recognised UK ballet or contemporary dance companies.The company must be endorsed as being internationally recognised by a UK industry body such as the Arts Councils (of England, Scotland or Wales)."
3414,dancers,"England, Scotland, Wales, Northern Ireland","23,840"," Must meet the standard required by internationally recognised UK ballet or contemporary dance companies.The company must be endorsed as being internationally recognised by a UK industry body such as the Arts Councils (of England, Scotland or Wales)."
3415,musician,"England, Scotland, Wales, Northern Ireland","22,000","Only skilled orchestral musicians who are leaders, principals, sub-principals or numbered string positions, and who meet the standard required by internationally recognised UK orchestras.The orchestra must be endorsed as being internationally recognised by the Association of British Orchestras."
3416,film editor,"England, Scotland, Wales, Northern Ireland","24,000",
3416,production assistant,"England, Scotland, Wales, Northern Ireland","24,000",(broadcasting)
3416,studio manager,"England, Scotland, Wales, Northern Ireland","24,000",
3416,television producer,"England, Scotland, Wales, Northern Ireland","24,000",
3416,theatrical agent,"England, Scotland, Wales, Northern Ireland","24,000",
3421,graphic designer,"England, Scotland, Wales, Northern Ireland","18,800",
3421,commercial artist,"England, Scotland, Wales, Northern Ireland","18,800",
3421,designer,"England, Scotland, Wales, Northern Ireland","18,800",(Advertising)
3421,graphic artist,"England, Scotland, Wales, Northern Ireland","18,800",
3421,mac operator,"England, Scotland, Wales, Northern Ireland","18,800",
5215,welder,"England, Scotland, Wales, Northern Ireland","18,240","Only high integrity pipe welders, where the job requires 3 or more years’ related on-the-job experience. This experience must not have been gained through illegal working."
6146,senior care assistant,"England, Scotland, Wales, Northern Ireland","13,520",
6146,senior carer,"England, Scotland, Wales, Northern Ireland","13,520",
6146,senior support worker,"England, Scotland, Wales, Northern Ireland","13,520",(Local government: welfare services)
6146,team leader,"England, Scotland, Wales, Northern Ireland","13,520",(nursing home)
2211,anaesthetist,"England, Scotland, Wales, Northern Ireland",,
2211,doctor,"England, Scotland, Wales, Northern Ireland",,
2211,general practitioner,"England, Scotland, Wales, Northern Ireland",,
2211,medical practitioner,"England, Scotland, Wales, Northern Ireland",,
2211,paediatrician,"England, Scotland, Wales, Northern Ireland",,
2211,psychiatrist,"England, Scotland, Wales, Northern Ireland",,
2211,radiologist,"England, Scotland, Wales, Northern Ireland",,
2211,surgeon,"England, Scotland, Wales, Northern Ireland",,
2211,consultant,"England, Scotland, Wales, Northern Ireland",,(Hospital Service)
2212,psychologist,"England, Scotland, Wales, Northern Ireland",,
2212,clinical psychologist,"England, Scotland, Wales, Northern Ireland",,
2212,educational psychologist,"England, Scotland, Wales, Northern Ireland",,
2212,forensic psychologist,"England, Scotland, Wales, Northern Ireland",,
2212,occupational psychologist,"England, Scotland, Wales, Northern Ireland",,
2212,psychometrist,"England, Scotland, Wales, Northern Ireland",,
2213,pharmacist,"England, Scotland, Wales, Northern Ireland",,
2213,chemist,"England, Scotland, Wales, Northern Ireland",,
2213,dispensary manager,"England, Scotland, Wales, Northern Ireland",,
2213,pharmaceutical chemist,"England, Scotland, Wales, Northern Ireland",,
2213,pharmacy manager,"England, Scotland, Wales, Northern Ireland",,
2217,medical radiographer,"England, Scotland, Wales, Northern Ireland",,
2217,radiographer,"England, Scotland, Wales, Northern Ireland",,
2217,sonographer,"England, Scotland, Wales, Northern Ireland",,
2217,therapeutic radiographer,"England, Scotland, Wales, Northern Ireland",,
2217,vascular technologist,"England, Scotland, Wales, Northern Ireland",,
2219,audiologist,"England, Scotland, Wales, Northern Ireland",,
2219,dental hygiene therapist,"England, Scotland, Wales, Northern Ireland",,
2219,dietician nutritionist,"England, Scotland, Wales, Northern Ireland",,
2219,family planner,"England, Scotland, Wales, Northern Ireland",,
2219,occupational health adivser,"England, Scotland, Wales, Northern Ireland",,
2219,paramedical practitioner,"England, Scotland, Wales, Northern Ireland",,
2221,physiotherapist,"England, Scotland, Wales, Northern Ireland",,
2221,electro-therapist,"England, Scotland, Wales, Northern Ireland",,
2221,physiotherapy practitioner,"England, Scotland, Wales, Northern Ireland",,
2222,occupational therapist,"England, Scotland, Wales, Northern Ireland",,
2223,speech and language therapist,"England, Scotland, Wales, Northern Ireland",,
2223,language therapist,"England, Scotland, Wales, Northern Ireland",,
2223,speech therapist,"England, Scotland, Wales, Northern Ireland",,
2231,district nurse,"England, Scotland, Wales, Northern Ireland",,
2231,health visitor,"England, Scotland, Wales, Northern Ireland",,
2231,mental health practitioner,"England, Scotland, Wales, Northern Ireland",,
2231,nurse,"England, Scotland, Wales, Northern Ireland",,
2231,practice nurse,"England, Scotland, Wales, Northern Ireland",,
2231,pyschiatric nurse,"England, Scotland, Wales, Northern Ireland",,
2231,staff nurse,"England, Scotland, Wales, Northern Ireland",,
2231,student nurse,"England, Scotland, Wales, Northern Ireland",,
2314,secondary teacher,"England, Scotland, Wales, Northern Ireland",,"  only teachers in maths, physics, science (where an element of physics will be taught), computer science and modern foreign languages"
2315,primary teacher,Scotland only,,"Scotland only , only Gaelic medium teachers"
2442,psychiatric social worker,"England, Scotland, Wales, Northern Ireland",,
2442,senior practitioner,"England, Scotland, Wales, Northern Ireland",, (local government: social services)
2442,social worker,"England, Scotland, Wales, Northern Ireland",,
3213,paramedic,"England, Scotland, Wales, Northern Ireland",,
3213,ambulance paramedic,"England, Scotland, Wales, Northern Ireland",,
3213,emergency care practitioner,"England, Scotland, Wales, Northern Ireland",,
3213,paramedic-ecp,"England, Scotland, Wales, Northern Ireland",,
6141,nursing auxiliary,"England, Scotland, Wales, Northern Ireland",,
6141,auxiliary nurse,"England, Scotland, Wales, Northern Ireland",,
6141,health care assistant ,"England, Scotland, Wales, Northern Ireland",,(hospital service)
6141,health care support worker,"England, Scotland, Wales, Northern Ireland",,
6141,nursing assistant,"England, Scotland, Wales, Northern Ireland",,
